Country,Year,Population-table2.1
Algeria,1960,"2,674"
Angola,1960,"1,688"
Congo,1960,132
Equatorial Guinea,1960,9
Gabon,1960,141
IR Iran ,1960,"4,119"
Iraq,1960,"1,684"
Kuwait,1960,"1,588"
Libya,1960,350
Nigeria,1960,"4,196"
Saudi Arabia,1960,"1,748"
United Arab Emirates,1960,17
Venezuela,1960,"7,664"
OPEC,1960,"26,009"
Algeria,1961,"2,390"
Angola,1961,"1,777"
Congo,1961,152
Equatorial Guinea,1961,9
Gabon,1961,168
IR Iran ,1961,"4,245"
Iraq,1961,"1,831"
Kuwait,1961,"1,689"
Libya,1961,386
Nigeria,1961,"4,467"
Saudi Arabia,1961,"1,921"
United Arab Emirates,1961,20
Venezuela,1961,"8,060"
OPEC,1961,"27,115"
Algeria,1962,"1,965"
Angola,1962,"1,890"
Congo,1962,167
Equatorial Guinea,1962,9
Gabon,1962,183
IR Iran ,1962,"4,467"
Iraq,1962,"1,954"
Kuwait,1962,"1,828"
Libya,1962,538
Nigeria,1962,"4,909"
Saudi Arabia,1962,"2,131"
United Arab Emirates,1962,39
Venezuela,1962,"8,816"
OPEC,1962,"28,896"
Algeria,1963,"2,645"
Angola,1963,"1,980"
Congo,1963,172
Equatorial Guinea,1963,11
Gabon,1963,154
IR Iran ,1963,"4,663"
Iraq,1963,"1,978"
Kuwait,1963,"1,901"
Libya,1963,776
Nigeria,1963,"5,166"
Saudi Arabia,1963,"2,207"
United Arab Emirates,1963,73
Venezuela,1963,"9,610"
OPEC,1963,"31,335"
Algeria,1964,"2,856"
Angola,1964,"2,084"
Congo,1964,186
Equatorial Guinea,1964,13
Gabon,1964,216
IR Iran ,1964,"5,094"
Iraq,1964,"2,340"
Kuwait,1964,"2,072"
Libya,1964,"1,165"
Nigeria,1964,"5,553"
Saudi Arabia,1964,"2,372"
United Arab Emirates,1964,139
Venezuela,1964,"8,116"
OPEC,1964,"32,205"
Algeria,1965,"3,087"
Angola,1965,"2,217"
Congo,1965,198
Equatorial Guinea,1965,13
Gabon,1965,226
IR Iran ,1965,"5,725"
Iraq,1965,"2,559"
Kuwait,1965,"2,103"
Libya,1965,"1,568"
Nigeria,1965,"5,874"
Saudi Arabia,1965,"2,648"
United Arab Emirates,1965,136
Venezuela,1965,"8,524"
OPEC,1965,"34,879"
Algeria,1966,"2,975"
Angola,1966,"2,321"
Congo,1966,221
Equatorial Guinea,1966,14
Gabon,1966,246
IR Iran ,1966,"6,251"
Iraq,1966,"2,772"
Kuwait,1966,"2,391"
Libya,1966,"2,008"
Nigeria,1966,"6,367"
Saudi Arabia,1966,"2,921"
United Arab Emirates,1966,256
Venezuela,1966,"8,881"
OPEC,1966,"37,623"
Algeria,1967,"3,287"
Angola,1967,"2,443"
Congo,1967,237
Equatorial Guinea,1967,15
Gabon,1967,272
IR Iran ,1967,"7,030"
Iraq,1967,"2,795"
Kuwait,1967,"2,694"
Libya,1967,"2,366"
Nigeria,1967,"5,203"
Saudi Arabia,1967,"3,257"
United Arab Emirates,1967,297
Venezuela,1967,"9,355"
OPEC,1967,"39,251"
Algeria,1968,"3,796"
Angola,1968,"2,599"
Congo,1968,251
Equatorial Guinea,1968,15
Gabon,1968,294
IR Iran ,1968,"7,732"
Iraq,1968,"3,173"
Kuwait,1968,"2,663"
Libya,1968,"3,343"
Nigeria,1968,"5,201"
Saudi Arabia,1968,"3,550"
United Arab Emirates,1968,350
Venezuela,1968,"10,072"
OPEC,1968,"43,040"
Algeria,1969,"4,158"
Angola,1969,"2,722"
Congo,1969,265
Equatorial Guinea,1969,16
Gabon,1969,318
IR Iran ,1969,"8,591"
Iraq,1969,"3,304"
Kuwait,1969,"2,769"
Libya,1969,"3,802"
Nigeria,1969,"6,634"
Saudi Arabia,1969,"3,866"
United Arab Emirates,1969,480
Venezuela,1969,"10,432"
OPEC,1969,"47,359"
Algeria,1970,"4,639"
Angola,1970,"2,865"
Congo,1970,275
Equatorial Guinea,1970,17
Gabon,1970,324
IR Iran ,1970,"9,424"
Iraq,1970,"3,591"
Kuwait,1970,"2,873"
Libya,1970,"3,993"
Nigeria,1970,"12,546"
Saudi Arabia,1970,"6,453"
United Arab Emirates,1970,645
Venezuela,1970,"11,755"
OPEC,1970,"59,400"
Algeria,1971,"4,789"
Angola,1971,"3,015"
Congo,1971,322
Equatorial Guinea,1971,18
Gabon,1971,382
IR Iran ,1971,"11,890"
Iraq,1971,"4,145"
Kuwait,1971,"3,881"
Libya,1971,"4,566"
Nigeria,1971,"9,182"
Saudi Arabia,1971,"8,597"
United Arab Emirates,1971,883
Venezuela,1971,"12,913"
OPEC,1971,"64,583"
Algeria,1972,"6,123"
Angola,1972,"3,105"
Congo,1972,411
Equatorial Guinea,1972,19
Gabon,1972,431
IR Iran ,1972,"14,815"
Iraq,1972,"5,356"
Kuwait,1972,"4,451"
Libya,1972,"5,466"
Nigeria,1972,"12,274"
Saudi Arabia,1972,"10,682"
United Arab Emirates,1972,"1,505"
Venezuela,1972,"14,138"
OPEC,1972,"78,774"
Algeria,1973,"8,130"
Angola,1973,"3,794"
Congo,1973,542
Equatorial Guinea,1973,20
Gabon,1973,723
IR Iran ,1973,"23,908"
Iraq,1973,"6,483"
Kuwait,1973,"5,417"
Libya,1973,"7,493"
Nigeria,1973,"15,163"
Saudi Arabia,1973,"14,774"
United Arab Emirates,1973,"2,855"
Venezuela,1973,"17,060"
OPEC,1973,"106,363"
Algeria,1974,"13,294"
Angola,1974,"4,251"
Congo,1974,585
Equatorial Guinea,1974,21
Gabon,1974,"1,544"
IR Iran ,1974,"42,322"
Iraq,1974,"12,996"
Kuwait,1974,"13,004"
Libya,1974,"13,116"
Nigeria,1974,"24,847"
Saudi Arabia,1974,"42,991"
United Arab Emirates,1974,"7,856"
Venezuela,1974,"26,191"
OPEC,1974,"203,018"
Algeria,1975,"15,610"
Angola,1975,"3,131"
Congo,1975,767
Equatorial Guinea,1975,22
Gabon,1975,"2,158"
IR Iran ,1975,"46,970"
Iraq,1975,"16,095"
Kuwait,1975,"12,017"
Libya,1975,"12,768"
Nigeria,1975,"27,779"
Saudi Arabia,1975,"43,875"
United Arab Emirates,1975,"9,971"
Venezuela,1975,"27,561"
OPEC,1975,"218,724"
Algeria,1976,"17,791"
Angola,1976,"2,995"
Congo,1976,755
Equatorial Guinea,1976,23
Gabon,1976,"3,009"
IR Iran ,1976,"60,718"
Iraq,1976,"19,383"
Kuwait,1976,"13,124"
Libya,1976,"16,575"
Nigeria,1976,"36,309"
Saudi Arabia,1976,"60,251"
United Arab Emirates,1976,"12,936"
Venezuela,1976,"31,496"
OPEC,1976,"275,364"
Algeria,1977,"21,039"
Angola,1977,"3,276"
Congo,1977,765
Equatorial Guinea,1977,24
Gabon,1977,"2,809"
IR Iran ,1977,"71,343"
Iraq,1977,"23,326"
Kuwait,1977,"14,141"
Libya,1977,"19,466"
Nigeria,1977,"36,035"
Saudi Arabia,1977,"69,739"
United Arab Emirates,1977,"16,181"
Venezuela,1977,"36,274"
OPEC,1977,"314,419"
Algeria,1978,"26,442"
Angola,1978,"3,643"
Congo,1978,879
Equatorial Guinea,1978,25
Gabon,1978,"2,389"
IR Iran ,1978,"70,078"
Iraq,1978,"27,702"
Kuwait,1978,"15,505"
Libya,1978,"19,213"
