,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,-820,-635,-77,32,-59,-35,55,98,-35,-208,-126,42,-125,-445,176,"-1,658",-882,"-2,325","-3,540","-1,632",249,90,-183,-85,74,"1,015","-2,230",141,"-2,040","-1,081","1,420","2,367","1,200",-848,"-2,270","-5,725",480,"3,820","-1,700","-2,464","9,320","6,960","4,370","8,840","11,121","21,180","28,950","30,540","34,450",400,"12,149","17,766","12,418","1,153","-9,277","-27,280","-26,032","-21,763","-15,820","-16,914","-16,955","-18,684","-4,636"
Angola,,,,,,,,,,,,,,,,,,,,,70,-183,-494,-359,-171,195,-303,447,-469,-132,-236,-580,-735,-669,-340,-295,-349,-884,"-1,867","-1,710",796,"-1,431",-150,-720,686,"5,138","10,690","10,581","7,194","-7,572","7,506","13,085","13,841","8,145","-3,748","-10,273","-3,085",-633,"7,403","5,137",872,"8,399","11,763"
Congo,,,,,,,,,,,,,,,,,,,,,-167,-461,-332,-401,210,-161,-601,-223,-446,-85,-251,-462,-317,-553,-793,-625,-651,-156,-241,-231,648,-28,-35,521,674,696,124,"-2,105",866,"-1,366",900,"2,070","2,421","1,936",679,"-4,631","-3,596",-496,840,"1,632","1,441","2,623","3,303"
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24,-17,-21,-19,-41,-11,3,3,-123,-344,-144,-398,-218,-352,-815,"-1,099",-185,455,"1,377","1,940","2,178","1,557","-1,461","-3,298","-1,210",-252,-547,-929,"-1,323",-809,-149,-166,72,-125,-121,43
Gabon,4,5,-1,5,16,13,-5,7,6,-12,-3,18,-4,-43,219,73,52,99,74,248,384,403,309,98,113,-162,"-1,057",-449,-616,-192,168,75,-168,-49,317,515,889,531,-596,390,"1,001",517,338,766,924,"1,983","1,796","1,748","3,355",537,"2,140","3,820","3,040","1,241","1,344","-1,080","-1,416","-1,029",-640,-150,-839,"-1,036",572
IR Iran ,-334,-381,-191,-52,-146,-215,-170,-127,-414,-539,-507,-118,-389,155,"12,267","4,708","7,660","2,816",104,"11,968","-2,438","-3,446","5,733",358,-414,-476,"-5,155","-2,090","-1,869",-191,327,"-9,448","-6,504","-4,215","4,950","3,358","5,232","2,213","-2,139","6,555","9,271","1,731","1,920",-622,-216,"15,392","20,585","32,594","22,838","9,477","27,555","58,507","23,362","25,105","13,571","1,237","13,236","14,915","26,241","-1,652",-708,"11,144","26,044"
Iraq,-25,-40,25,112,41,28,14,78,186,183,105,196,547,801,"2,618","2,705","2,495","2,988","4,087","11,117","10,662","-11,931","-19,417","-5,509","-3,852","-4,544","-7,197","-4,182","-3,717","-2,872","-2,418","-3,407","-7,076","-8,451","-9,128","-10,547","-10,046","-10,130","-12,045","-14,528","-8,169","-15,410",-782,-935,"-2,405","1,918","7,096","19,992","32,344","-1,143","6,477","26,129","29,542","22,591","15,865","-1,913","2,158","14,841","35,270","15,763","-6,198","24,563","41,339"
Kuwait,708,705,787,814,938,928,914,756,853,939,"1,214","1,806","2,006","2,583","9,066","5,930","6,929","4,561","6,130","14,032","15,302","13,699","4,963","5,310","6,428","4,798","5,616","4,560","4,602","9,136","3,886","-26,478",-433,"2,606","3,336","5,072","7,160","8,014","2,313","5,110","14,757","8,376","4,315","9,491","15,509","30,070","45,312","41,331","60,240","28,278","36,991","66,148","79,124","70,471","54,408","4,013","5,057","9,603","19,898","17,861","4,843","37,390","17,101"
Libya,-536,-551,-532,-376,-241,-76,-30,44,252,328,645,783,238,67,"2,700",392,"2,845","2,159",738,"3,771","8,215","-3,963","-1,579","-1,643","-1,468","1,906",-166,"-1,043","-1,826","-1,026","2,147",432,"1,791",-844,151,"3,243","2,339","2,192",899,"2,980","8,316","4,794",813,"2,460","7,031","17,425","28,093","29,825","37,083","9,380","16,801","3,192","23,836",10,"-18,788","-9,233","-4,610","4,513","11,361","4,817","-4,780","14,429","8,116"
Nigeria,-194,-177,-148,-156,-256,-251,-258,-201,-221,-316,-368,-406,-343,-9,"4,898",42,-357,"-1,016","-3,754","1,671","4,311","-6,555","-7,252","-4,333",58,"2,479","-2,142",-74,-215,"-1,255","2,407","-1,269",-294,-884,"-2,390","-2,645","5,384","3,748","-4,315",500,"6,983","2,170",-967,"5,447","15,403","37,225","36,844","27,881","29,296","14,021","13,269","10,757","17,516","19,205",907,"-15,439","2,722","10,399","7,283","-13,685","-15,986","-1,849","-1,010"
