,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
OECD Americas,"3,235","3,267","3,266","2,543","1,343","1,522","1,211","1,321","1,438","1,016","1,150","1,145","1,133","1,057","1,244","1,551",950,"1,227","1,554","1,229","1,285","1,638","1,789","2,139","2,259","2,271","2,255","1,611","2,192","2,541","2,254","2,247","2,331",898,866,"1,153","1,252",989,475,778,973
Canada,346,296,347,392,239,198,130,162,189,105,164,257,287,251,343,486,248,385,410,264,348,417,440,575,456,360,361,313,398,429,353,372,374,144,209,205,141,135,91,149,145
Chile,6,6,6,6,6,6,5,6,5,5,4,3,4,2,1,2,2,0,1,1,1,0,0,0,1,2,1,4,3,4,3,3,4,1,4,3,2,1,2,2,2
Mexico,187,185,200,195,135,156,152,88,108,110,56,28,26,41,48,50,53,44,46,63,80,107,103,94,84,98,111,122,80,105,114,98,72,42,19,15,31,49,41,47,47
United States,"2,696","2,780","2,713","1,950",963,"1,162",924,"1,065","1,136",796,926,857,816,763,852,"1,013",647,798,"1,097",901,856,"1,114","1,246","1,470","1,718","1,811","1,782","1,172","1,711","2,003","1,784","1,774","1,881",711,634,930,"1,078",804,341,580,779
OECD Europe,249,192,250,262,148,205,154,143,149,135,126,104,96,117,117,108,82,72,84,94,74,74,54,65,58,65,80,70,83,83,110,95,115,90,80,64,72,77,52,61,70
Germany,31,16,25,20,12,18,4,8,8,4,7,7,7,11,7,5,4,4,2,5,4,2,2,3,4,5,10,5,7,5,6,4,3,6,4,3,5,4,0,1,3
Italy,37,25,35,44,24,23,28,16,23,23,20,12,9,11,14,10,10,8,7,7,5,7,5,3,5,5,4,4,4,4,5,4,4,3,4,4,3,5,1,2,4
Netherlands,23,17,24,20,10,12,9,17,11,14,10,5,6,11,14,7,7,4,5,8,5,5,4,5,3,2,5,5,7,4,9,5,10,4,2,4,1,3,2,2,2
Norway,12,9,9,13,8,16,12,12,15,15,16,17,14,17,16,19,12,16,24,24,15,17,14,15,15,19,25,22,19,10,25,14,14,17,16,16,18,17,17,18,17
Poland,23,23,22,22,21,21,20,20,19,18,18,18,18,18,18,16,15,14,15,13,12,11,3,2,2,2,1,3,7,11,6,9,7,12,8,6,6,6,3,2,2
United Kingdom,53,42,64,68,33,68,49,43,46,35,30,24,22,32,33,35,24,17,19,23,23,21,16,27,22,22,22,14,20,16,21,12,20,9,11,5,11,11,5,8,10
Others,70,60,71,75,40,47,32,27,27,26,25,21,20,17,15,16,10,9,12,14,10,11,10,10,7,10,13,17,19,33,38,47,57,39,35,26,28,31,24,28,32
OECD Asia Pacific,47,55,56,48,28,33,38,21,25,22,24,22,19,23,28,16,20,14,20,22,20,19,19,23,29,28,32,25,22,18,31,28,25,17,10,15,24,29,17,23,24
Australia,27,30,35,28,13,19,26,14,18,12,14,14,12,15,19,11,18,5,12,10,10,13,14,14,22,21,26,17,16,14,23,18,18,16,9,14,22,25,14,19,20
New Zealand,1,4,4,6,2,2,2,1,1,2,1,1,3,0,2,0,0,2,2,2,1,2,3,6,6,5,4,5,5,4,6,8,6,0,0,0,1,2,1,2,2
Others,19,21,17,14,13,12,10,6,6,8,9,7,4,8,7,5,2,7,6,10,9,4,2,3,1,2,2,3,1,0,2,2,1,1,1,1,1,2,2,2,2
China2,12,9,14,12,10,7,5,3,3,2,2,5,5,9,11,13,12,7,8,8,9,10,12,17,17,22,20,29,32,24,17,21,36,25,25,32,35,38,30,41,41
India,54,58,56,64,95,121,92,139,135,139,123,90,80,65,64,51,46,46,51,50,58,62,76,83,85,84,82,104,112,117,114,121,114,100,116,116,124,109,81,76,78
Other Asia,192,175,176,160,119,111,122,123,118,117,94,108,89,86,93,106,81,69,77,90,110,98,105,124,121,126,129,126,131,100,97,100,99,79,62,74,67,65,49,68,65
Indonesia,93,81,79,74,40,42,44,46,54,56,43,47,36,41,46,61,38,28,34,49,53,42,51,60,53,66,61,58,60,53,43,38,40,25,16,34,24,26,26,32,32
Malaysia,11,11,9,9,7,9,11,15,10,18,5,12,10,7,4,5,9,7,10,11,15,14,11,12,14,11,19,13,8,8,13,12,8,5,4,7,7,12,3,7,4
Pakistan,18,17,20,17,18,11,16,12,9,8,10,10,12,11,10,13,8,9,10,5,13,12,12,11,17,19,21,18,15,12,21,21,19,23,21,20,19,15,13,15,11
Others,70,66,68,60,54,49,51,50,45,35,36,39,31,27,33,27,26,25,23,25,29,30,31,41,37,30,28,37,48,27,20,29,32,26,21,13,17,12,7,14,18
