,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
OECD Americas,"7,886","8,156","8,395","8,658","8,781","9,031","9,613","10,250","10,626","10,901","11,421","11,483","11,542","11,456","10,996","10,504","10,217","10,528","11,183","11,437","11,856","12,081","12,568","12,588","12,872","12,886","12,269","12,155","11,952","11,372","11,130","11,305","11,090","10,831","10,717","10,580","10,733","10,897","10,758","10,141","10,232","10,313","10,373","10,483","10,233","9,881","9,690","9,546","9,149","9,178","9,292","9,492","10,386","11,408","12,629","12,976","12,190","12,524","14,039","15,300","14,181","14,105","14,744"
Canada,564,659,728,768,817,872,956,"1,046","1,109","1,173","1,305","1,375","1,539","1,742","1,635","1,381","1,255","1,263","1,249","1,394","1,294","1,159","1,127","1,170","1,270","1,250","1,130","1,238","1,280","1,223","1,207","1,195","1,236","1,296","1,351","1,380","1,401","1,414","1,428","1,346","1,392","1,377","1,446","1,459","1,405","1,360","1,346","1,388","1,349","1,217","1,227","1,261","1,309","1,382","1,400","1,263","1,186","1,213","1,273","1,304","1,199","1,185","1,232"
Chile,22,28,35,40,41,38,37,37,41,40,37,39,37,34,30,27,25,24,19,20,29,37,43,39,38,33,31,28,25,22,20,18,15,15,19,23,9,9,8,8,7,7,6,4,4,4,3,2,2,3,3,5,6,7,7,4,4,3,3,3,1,2,2
Mexico,265,287,300,308,309,317,325,357,381,450,420,434,444,472,558,722,805,996,"1,207","1,472","1,937","2,313","2,749","2,691","2,685","2,631","2,428","2,541","2,507","2,513","2,548","2,676","2,668","2,673","2,685","2,618","2,858","3,022","3,071","2,906","3,012","3,127","3,177","3,371","3,383","3,334","3,256","3,082","2,798","2,601","2,577","2,552","2,548","2,522","2,429","2,267","2,153","1,948","1,810","1,679","1,663","1,665","1,622"
United States,"7,035","7,183","7,332","7,542","7,614","7,804","8,295","8,810","9,096","9,238","9,659","9,635","9,522","9,208","8,774","8,375","8,132","8,245","8,707","8,552","8,597","8,572","8,649","8,688","8,879","8,971","8,680","8,349","8,140","7,613","7,355","7,417","7,171","6,847","6,662","6,560","6,465","6,452","6,252","5,881","5,822","5,801","5,744","5,649","5,441","5,184","5,086","5,074","5,000","5,357","5,484","5,674","6,524","7,497","8,793","9,442","8,848","9,359","10,953","12,315","11,318","11,254","11,887"
OECD Europe,319,344,366,393,425,449,439,460,477,494,467,438,450,462,467,616,901,"1,410","1,766","2,307","2,495","2,692","2,949","3,320","3,661","3,814","3,894","4,030","4,017","3,885","4,059","4,294","4,550","4,795","5,544","5,784","6,153","6,175","6,075","6,149","6,291","6,043","5,958","5,640","5,386","4,915","4,508","4,324","4,053","3,824","3,531","3,192","2,888","2,732","2,758","2,899","2,928","2,875","2,862","2,775","2,977","2,902","2,724"
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,10,9,8,6,26,37,42,53,61,74,94,96,111,121,142,157,168,185,186,209,231,237,297,363,347,369,369,389,377,342,305,280,261,246,222,202,176,165,156,140,137,115,102,71,66,65
Norway,0,0,0,0,0,0,0,0,0,0,0,6,33,33,35,189,288,280,356,403,523,501,490,610,692,796,879,"1,019","1,153","1,502","1,646","1,882","2,103","2,269","2,538","2,698","3,031","3,063","2,908","2,881","3,183","3,118","2,992","2,852","2,797","2,553","2,354","2,210","2,108","1,980","1,799","1,680","1,533","1,464","1,512","1,567","1,615","1,588","1,487","1,408","1,699","1,770","1,685"
United Kingdom,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,24,236,766,"1,077","1,566","1,611","1,803","2,068","2,261","2,506","2,532","2,500","2,457","2,274","1,815","1,835","1,811","1,851","1,943","2,397","2,488","2,518","2,494","2,560","2,649","2,427","2,269","2,254","2,066","1,851","1,644","1,486","1,477","1,352","1,301","1,202","1,006",869,796,776,880,915,891,985,"1,007",931,791,723
Others,317,341,364,390,422,447,437,458,475,493,465,431,416,424,429,400,373,353,325,330,355,361,354,407,410,425,441,461,494,458,457,459,439,415,424,412,396,387,370,322,318,309,342,353,348,341,326,332,313,281,284,285,285,296,305,296,258,259,276,258,277,276,251
OECD Asia Pacific,10,13,15,15,17,19,24,35,51,56,184,345,355,438,422,429,448,456,454,458,388,401,387,430,505,580,484,526,506,471,541,506,489,447,478,434,465,497,448,437,637,572,533,420,342,344,334,374,413,377,389,329,323,250,279,257,204,180,144,164,163,143,129
Australia,0,0,0,0,4,7,9,19,35,41,167,327,336,419,406,412,426,431,432,441,371,383,364,407,478,543,441,485,461,422,492,456,439,395,428,390,410,428,392,388,594,532,496,391,316,319,310,326,346,315,328,277,276,209,234,212,165,145,117,136,138,121,110
Others,10,13,15,15,13,12,15,16,15,16,17,18,18,18,17,16,22,25,23,17,17,18,23,23,27,37,42,41,46,49,49,51,51,52,49,44,55,69,56,49,43,40,36,29,26,25,25,48,67,62,61,52,47,41,45,45,39,35,27,28,25,22,19
China,18,24,38,44,55,79,100,120,100,145,210,327,526,646,962,"1,451","1,653","1,781","1,917","2,129","2,169","2,012","2,008","2,102","2,262","2,443","2,553","2,666","2,720","2,760","2,766","2,805","2,814","2,924","2,942","2,996","3,173","3,254","3,207","3,212","3,228","3,297","3,393","3,407","3,485","3,617","3,674","3,736","3,802","3,795","4,076","4,052","4,074","4,164","4,208","4,288","3,986","3,821","3,787","3,825","3,889","3,988","4,094"
India,17,17,43,68,89,118,182,216,104,257,139,141,148,149,150,161,174,200,226,245,182,291,390,430,528,617,621,609,635,678,669,627,558,532,621,695,661,679,659,656,646,641,661,663,683,652,639,641,635,619,692,726,717,717,720,719,692,688,661,623,587,574,563
Other Asia,506,513,538,522,535,568,564,611,731,881,"1,011","1,093","1,353","1,692","1,763","1,655","1,836","2,119","2,129","2,158","2,169","2,137","1,823","1,810","1,923","1,842","1,992","1,847","1,900","1,997","2,165","2,349","2,360","2,404","2,424","2,517","2,518","2,455","2,498","2,431","2,549","2,508","2,482","2,575","2,588","2,474","2,420","2,270","2,280","2,253","2,193","2,100","2,125","2,026","1,985","2,084","2,090","1,989","1,886","1,825","1,686","1,560","1,451"
Brunei,81,72,67,59,60,67,80,87,107,114,133,175,246,325,361,320,299,393,454,501,248,215,162,155,160,154,165,143,141,133,134,145,165,155,162,157,148,147,141,167,178,180,210,214,210,206,221,177,158,155,159,156,146,122,114,115,109,101,100,110,101,98,84
Indonesia,410,424,453,444,457,481,465,505,601,742,854,892,"1,081","1,339","1,375","1,307","1,504","1,686","1,635","1,591","1,576","1,604","1,325","1,245","1,281","1,178","1,252","1,158","1,170","1,239","1,299","1,450","1,348","1,327","1,333","1,328","1,327","1,330","1,315","1,207","1,272","1,214","1,125","1,140","1,086",961,896,838,857,826,825,794,763,727,697,690,738,710,685,664,631,585,539
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,268,282,345,408,412,473,452,496,538,572,587,589,567,568,638,633,616,638,610,597,579,596,622,624,571,574,566,568,537,519,456,471,462,493,545,546,543,539,506,456,418,397
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,21,20,17,19,20,23,23,25,24,25,42,55,26,28,33,57,62,76,96,86,114,129,135,144,154,153,140,149,149,139,152,163,141,129,126,117,98,79
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,67,99,123,141,173,175,191,230,260,307,343,344,364,409,378,351,311,297,327,299,304,335,333,312,338,304,272,240,222,194,184,180
Others,16,16,18,20,19,21,20,18,24,25,24,26,26,28,28,28,33,40,40,66,55,49,53,59,61,76,83,77,73,67,82,78,135,208,196,177,179,144,145,155,138,129,132,140,173,243,249,244,256,253,237,249,261,232,230,243,230,222,193,197,188,177,172
Latin America,"3,439","3,589","3,911","3,987","4,144","4,249","4,211","4,487","4,601","4,600","4,718","4,597","4,356","4,635","4,213","3,545","3,510","3,517","3,539","3,775","3,609","3,600","3,458","3,386","3,455","3,432","3,600","3,500","3,583","3,811","4,304","4,431","4,588","4,662","4,852","5,081","5,281","5,445","6,389","6,209","6,297","6,194","6,291","6,175","6,585","6,813","6,836","6,752","6,835","6,884","7,068","7,254","7,153","7,176","7,312","7,450","7,067","6,765","6,207","5,961","5,536","5,575","6,027"
Argentina,168,227,263,261,268,264,281,308,336,349,385,417,435,420,416,392,388,436,451,472,492,498,491,491,479,460,434,429,445,459,484,490,554,594,668,719,783,834,847,801,769,782,757,740,695,665,658,641,642,604,589,553,549,540,532,532,511,480,489,509,480,513,582
Brazil,85,100,97,103,95,99,122,154,172,164,164,170,167,170,177,172,167,161,160,166,182,213,260,330,462,547,573,567,555,596,631,624,628,643,668,693,784,842,975,"1,098","1,231","1,293","1,454","1,496","1,477","1,634","1,723","1,748","1,812","1,950","2,055","2,105","2,061","2,024","2,255","2,437","2,510","2,622","2,587","2,788","2,940","2,905","3,022"
Colombia,153,146,142,166,171,199,196,188,173,210,218,215,194,183,167,156,145,136,130,123,125,134,142,152,167,176,302,385,375,404,440,426,438,453,454,585,625,652,747,815,687,604,578,541,531,526,531,530,588,671,785,915,944,"1,008",990,"1,006",883,854,865,886,781,736,754
Ecuador,8,8,7,7,8,8,7,6,5,4,4,4,78,209,177,161,188,183,202,214,204,211,210,238,260,279,257,181,302,278,286,300,320,340,373,381,378,382,367,363,392,394,379,402,518,532,536,511,501,465,475,500,504,526,557,543,549,531,517,531,479,473,481
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,73,109,276
Venezuela,"2,846","2,920","3,200","3,248","3,393","3,473","3,371","3,542","3,605","3,594","3,708","3,549","3,220","3,366","2,976","2,346","2,294","2,238","2,166","2,356","2,165","2,108","1,895","1,801","1,696","1,564","1,649","1,576","1,578","1,747","2,135","2,286","2,346","2,326","2,368","2,379","2,381","2,411","3,120","2,800","2,891","2,792","2,782","2,643","3,009","3,067","3,036","2,982","2,958","2,878","2,854","2,881","2,804","2,789","2,683","2,654","2,373","2,035","1,510","1,013",569,636,716
Others,179,188,201,203,209,207,233,289,311,278,239,242,262,287,300,319,328,362,431,444,442,435,460,374,392,405,386,363,328,326,329,306,301,306,321,325,330,324,332,331,326,329,341,352,355,390,354,340,334,316,309,299,291,288,295,278,242,244,238,232,213,203,195
Middle East ,"5,328","5,710","6,253","6,883","7,677","8,421","9,385","10,052","11,273","12,459","13,779","16,164","17,942","21,053","21,705","19,438","22,046","22,222","21,112","21,532","18,344","15,555","12,929","11,149","10,517","9,728","12,117","11,985","14,242","15,192","16,074","15,894","17,526","18,296","18,834","18,916","19,106","19,822","21,154","20,296","21,450","20,824","18,693","20,446","21,995","22,720","22,913","22,308","23,142","20,869","21,031","23,005","24,107","23,845","23,511","24,501","26,612","25,697","25,731","24,171","22,043","22,234","25,094"
