,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,394,367,192,759,727,637,621,723,830,934,"1,009",857,"1,304","1,887","4,687","4,700","5,259","5,944","6,326","9,551","13,758","14,244","12,932","12,468","12,481","13,671","8,255","9,470","8,429","10,222","14,707","13,313","12,147","10,864","9,946","11,178","14,066","14,657","10,213","12,522","23,051","20,073","20,152","25,957","34,179","48,660","57,122","63,455","82,035","48,542","61,971","77,671","77,107","69,649","64,659","38,547","33,396","37,936","45,234","39,014","26,103","43,703","69,256"
Angola,123,134,148,164,204,198,220,237,268,327,423,408,479,802,"1,229","1,012",621,940,968,"1,091","1,883","1,856","1,629","1,822","2,033","2,260","1,316","2,302","2,494","2,989","3,992","3,620","3,976","3,007","3,175","3,836","5,368","5,145","3,666","5,311","8,182","6,736","8,535","9,709","13,798","24,286","33,346","44,707","64,243","41,451","51,452","68,043","71,873","69,562","60,851","34,437","28,300","35,598","41,389","35,180","21,004","33,675","50,120"
Congo,2,19,35,42,47,47,43,48,52,46,31,39,74,85,228,178,181,172,316,509,959,"1,050","1,004","1,041","1,181","1,086",773,808,746,967,"1,265","1,107","1,184","1,096",959,"1,173","1,495","1,581","1,368","1,790","2,579","2,055","2,280","2,677","3,433","4,745","6,078","6,003","9,335","7,570","8,530","13,270","11,000","10,044","9,155","4,650","4,329","6,521","9,701","8,748","5,675","8,377","10,800"
Equatorial Guinea,34,23,25,28,33,27,30,36,36,38,25,28,19,19,34,26,10,14,17,29,14,11,12,13,15,17,24,39,49,41,62,37,50,57,62,127,232,497,439,709,"1,379","1,795","2,117","2,801","5,203","7,653","9,229","10,910","15,218","9,100","10,000","13,500","15,500","15,393","14,364","7,071","5,751","7,165","7,804","5,810","4,392","6,806","7,900"
Gabon,48,55,59,74,96,106,101,121,124,142,144,180,228,331,768,943,"1,135","1,343","1,107","1,848","2,173","2,201","2,161","2,000","2,011","1,951","1,271","1,288","1,196","1,597","2,426","2,243","2,082","2,295","2,350","2,713","3,184","3,024","1,916","2,394","3,141","2,522","2,409","3,062","3,728","5,065","5,450","6,309","9,506","4,740","6,942","10,053","10,331","8,950","9,158","5,607","4,519","7,481","9,155","8,678","7,275","11,281","15,405"
IR Iran ,636,756,822,919,"1,252","1,305","1,310","1,929","1,881","2,100","2,403","3,824","4,041","6,207","21,541","20,181","23,541","24,076","22,476","19,807","12,328","11,821","20,452","22,726","18,359","16,007","7,803","12,272","8,965","11,842","16,574","18,661","19,868","16,197","20,321","20,900","24,316","19,683","13,987","21,964","23,526","24,492","31,403","37,814","48,018","68,635","79,403","100,918","107,922","94,039","118,843","149,568","144,497","125,650","100,541","76,185","93,868","114,522","91,049","50,267","39,413","60,135","77,413"
Iraq,654,662,692,781,840,882,934,822,"1,039","1,045","1,098","1,555","1,101","1,942","6,602","8,298","9,273","9,650","11,064","21,572","26,349","10,140","10,033","9,298","11,501","11,788","7,396","12,813","12,388","15,017","13,710","1,730","2,108","1,794","1,720","1,963","2,765","6,385","7,428","13,067","18,743","12,872","12,219","9,711","17,810","23,697","30,529","39,516","63,726","39,430","52,483","83,226","94,392","93,066","88,949","57,577","46,830","63,604","92,831","88,903","50,613","91,514","138,291"
Kuwait,962,962,"1,077","1,136","1,251","1,284","1,344","1,355","1,439","1,540","1,655","2,507","2,989","3,810","10,963","9,184","9,846","9,754","10,427","18,404","20,633","16,023","10,819","11,473","12,156","10,374","7,216","8,221","7,709","11,396","6,989","1,080","6,548","10,264","11,284","12,833","14,946","14,281","9,618","12,224","19,478","16,237","15,367","21,795","29,001","45,303","56,453","62,526","86,944","54,423","67,130","102,855","119,643","115,745","104,791","61,580","52,113","61,788","79,464","72,580","47,982","76,177","110,370"
Libya,9,16,137,374,700,790,995,"1,168","1,871","2,164","2,400","2,694","2,938","4,003","8,259","6,834","9,554","11,411","9,895","16,076","21,919","15,031","13,701","12,348","11,028","12,193","7,607","6,380","6,153","7,274","11,352","10,702","10,191","8,544","7,705","7,983","9,930","9,177","5,726","7,776","12,038","10,934","10,451","15,078","20,925","32,449","42,473","47,929","61,950","37,055","48,935","19,060","61,026","46,018","20,826","11,392","6,764","18,865","29,830","29,058","9,312","33,417","37,686"
Nigeria,462,486,468,520,601,749,796,677,591,891,"1,249","1,886","2,184","3,601","9,684","8,305","10,117","12,367","10,445","16,733","25,934","17,837","13,667","10,686","11,933","13,113","4,478","7,362","6,876","8,243","10,274","12,837","11,886","9,908","9,415","12,342","16,154","15,207","9,855","13,856","27,061","18,045","17,975","24,062","37,225","55,144","57,444","66,606","88,651","58,175","80,579","99,878","96,905","97,818","104,803","52,525","37,301","49,492","65,357","67,481","37,984","46,868","68,119"
Saudi Arabia,891,956,"1,047","1,120","1,187","1,396","1,651","1,784","2,026","2,110","2,424","3,809","5,491","8,985","35,556","29,679","38,287","43,464","40,659","63,428","104,410","115,769","77,741","49,694","41,299","31,242","23,201","26,412","27,608","32,132","47,383","50,585","53,539","45,617","45,899","53,450","63,417","64,902","43,493","56,062","82,259","72,981","77,641","98,957","131,921","187,244","225,206","249,568","322,854","202,057","261,831","376,224","399,419","387,746","354,973","218,010","200,860","239,993","314,917","285,860","182,848","286,502","442,569"
United Arab Emirates,2,3,9,31,128,198,242,262,335,408,523,842,"1,174","2,156","7,380","7,218","8,891","10,062","9,832","14,801","21,618","21,238","16,837","14,672","14,192","14,043","12,345","13,495","13,227","16,464","21,656","22,746","24,271","23,645","28,698","30,777","35,272","35,824","32,132","38,158","49,835","48,414","51,775","66,756","90,950","117,287","145,586","178,630","239,213","191,802","213,539","302,037","359,727","392,571","399,570","361,253","360,626","384,044","392,866","404,046","351,258","425,149","532,797"
Venezuela,"2,305","2,225","2,342","2,343","2,472","2,455","2,373","3,077","2,779","3,083","3,169","3,124","3,166","4,891","11,153","8,800","9,299","9,551","9,187","14,317","19,275","20,181","16,516","14,759","16,075","14,478","8,664","10,564","10,217","13,059","17,623","15,159","14,202","14,779","16,105","19,082","23,707","23,871","17,707","20,963","33,529","26,667","26,781","27,230","39,668","55,716","65,578","70,197","96,057","58,518","66,887","93,747","97,877","88,753","74,714","37,251","27,614","33,887","33,602","21,017","6,682","10,138","17,686"
OPEC,"6,522","6,664","7,054","8,290","9,538","10,072","10,659","12,241","13,271","14,828","16,552","21,753","25,188","38,719","118,082","105,359","126,014","138,747","132,720","198,166","271,253","247,402","197,504","163,000","154,264","142,224","90,348","111,425","106,056","131,242","168,012","153,821","162,054","148,067","157,641","178,358","214,851","214,234","157,547","206,795","304,802","263,822","279,105","345,609","475,857","675,885","813,898","947,274","1,247,652","846,903","1,049,122","1,409,131","1,559,298","1,520,965","1,407,355","966,085","902,272","1,060,895","1,213,197","1,116,641","790,542","1,133,742","1,578,410"
