,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,"2,674","2,390","1,965","2,645","2,856","3,087","2,975","3,287","3,796","4,158","4,639","4,789","6,123","8,130","13,294","15,610","17,791","21,039","26,442","33,280","42,541","44,424","45,120","48,902","52,983","58,087","63,231","64,609","56,736","54,930","61,841","46,685","49,136","50,951","42,430","42,079","46,944","48,203","48,191","48,642","54,793","54,710","56,762","67,860","85,331","103,081","117,027","134,815","171,001","137,235","161,197","200,245","209,005","209,722","213,947","166,355","157,828","167,402","174,902","171,550","145,717","163,429","186,995"
Angola,"1,688","1,777","1,890","1,980","2,084","2,217","2,321","2,443","2,599","2,722","2,865","3,015","3,105","3,794","4,251","3,131","2,995","3,276","3,643","4,044","5,934","5,554","5,554","5,788","6,135","7,559","7,077","8,089","8,775","10,208","11,236","10,891","8,398","6,095","4,438","7,251","6,561","7,640","6,517","6,153","9,130","8,936","15,286","17,813","23,552","36,971","52,381","65,266","88,539","70,307","83,800","111,790","128,053","136,710","145,712","103,099","101,124","122,124","101,353","83,137","54,821","71,258","115,164"
Congo,132,152,167,172,186,198,221,237,251,265,275,322,411,542,585,767,755,765,879,"1,199","1,706","1,994","2,161","2,097","2,194","2,161","1,849","2,298","2,213","2,390","2,799","2,725","2,933","1,919","1,769","2,116","2,541","2,323","1,949","2,354","3,220","2,797","3,034","3,504","4,657","6,654","8,073","8,784","11,649","9,713","13,159","15,653","17,704","17,959","17,918","11,891","10,217","11,091","13,676","12,910","10,502","12,131","12,530"
Equatorial Guinea,9,9,9,11,13,13,14,15,15,16,17,18,19,20,21,22,23,24,25,26,32,30,35,40,44,74,91,111,119,105,133,132,160,162,120,169,276,526,440,738,"1,156","1,672","2,061","3,765","5,950","8,184","10,087","13,072","19,750","15,028","16,299","21,329","22,390","21,943","21,462","13,185","11,241","12,201","13,097","11,364","10,099","12,269","16,451"
Gabon,141,168,183,154,216,226,246,272,294,318,324,382,431,723,"1,544","2,158","3,009","2,809","2,389","3,030","4,559","4,111","3,853","3,689","3,547","3,736","4,889","3,699","4,079","4,458","6,339","5,754","5,955","5,757","4,463","5,281","6,064","5,673","4,774","4,966","5,397","5,022","5,327","6,509","7,764","9,474","10,163","12,457","15,582","12,184","14,385","18,203","17,181","17,596","18,209","14,385","14,020","14,924","16,875","16,875","15,339","20,242","21,931"
IR Iran ,"4,119","4,245","4,467","4,663","5,094","5,725","6,251","7,030","7,732","8,591","9,424","11,890","14,815","23,908","42,322","46,970","60,718","71,343","70,078","82,546","101,461","115,329","144,331","175,751","182,220","86,413","90,169","103,856","91,069","87,878","91,941","105,345","124,187","92,919","72,595","98,287","119,693","115,071","105,894","113,237","109,592","126,879","128,627","153,545","190,043","226,452","266,299","349,882","406,071","414,059","487,070","583,500","598,853","467,415","443,976","417,210","466,083","486,829","246,318","241,658","195,528","289,294","352,213"
Iraq,"1,684","1,831","1,954","1,978","2,340","2,559","2,772","2,795","3,173","3,304","3,591","4,145","5,356","6,483","12,996","16,095","19,383","23,326","27,702","39,565","47,562","32,580","36,777","37,495","42,531","44,204","39,992","43,702","43,411","48,422","13,982","4,245","5,481","4,347","3,621","4,000","5,556","10,261","10,572","17,477","26,018","20,342","19,657","15,282","36,638","49,955","64,805","86,125","130,204","110,968","138,517","185,750","218,032","236,438","228,416","166,822","166,603","187,534","227,512","233,636","182,455","254,782","264,182"
Kuwait,"1,588","1,689","1,828","1,901","2,072","2,103","2,391","2,694","2,663","2,769","2,873","3,881","4,451","5,417","13,004","12,017","13,124","14,141","15,505","24,842","28,724","25,249","21,583","20,317","21,457","21,540","17,376","20,817","19,281","23,855","18,293","10,826","19,866","23,996","24,796","27,189","31,492","30,350","25,944","30,123","37,721","34,886","38,135","47,844","59,439","80,807","101,559","114,677","147,402","105,992","115,401","154,020","174,066","174,179","162,696","114,534","109,407","120,688","138,209","136,189","105,941","136,643","181,978"
Libya,350,386,538,776,"1,165","1,568","2,008","2,366","3,343","3,802","3,993","4,566","5,466","7,493","13,116","12,768","16,575","19,466","19,213","26,502","36,757","31,755","31,660","30,170","28,252","27,789","22,613","21,052","23,764","25,157","28,904","31,992","33,887","30,660","28,611","25,541","27,885","30,701","27,251","30,484","34,495","29,880","20,394","28,896","36,904","50,917","60,164","73,413","95,328","68,837","75,783","32,211","80,960","67,864","36,143","48,718","49,913","67,155","76,681","69,241","46,895","39,007","44,066"
Nigeria,"4,196","4,467","4,909","5,166","5,553","5,874","6,367","5,203","5,201","6,634","12,546","9,182","12,274","15,163","24,847","27,779","36,309","36,035","36,528","47,260","60,593","62,312","53,934","36,508","26,476","25,966","20,563","21,912","24,311","23,487","31,480","28,337","25,522","15,790","18,086","36,945","46,020","35,386","32,749","32,526","41,637","41,649","54,471","61,949","85,894","112,963","144,732","175,110","204,911","166,538","363,361","402,561","461,448","509,134","561,603","487,093","404,649","375,745","421,742","406,176","430,197","436,450","470,332"
Saudi Arabia,"1,748","1,921","2,131","2,207","2,372","2,648","2,921","3,257","3,550","3,866","6,453","8,597","10,682","14,774","42,991","43,875","60,251","69,739","72,766","100,250","145,968","166,231","140,089","119,010","112,416","100,352","85,872","85,582","88,138","95,217","117,473","132,047","136,905","132,791","134,995","143,152","158,451","165,742","146,775","161,717","189,515","184,138","189,606","215,808","258,742","328,206","376,398","415,687","519,797","429,098","528,207","671,239","735,975","746,647","756,350","669,484","666,000","714,995","846,584","838,565","734,271","868,586","1,108,149"
United Arab Emirates,17,20,39,73,139,136,256,297,350,480,645,883,"1,505","2,855","7,856","9,971","12,936","16,181","15,630","20,941","29,626","32,988","30,676","42,786","41,791","40,587","33,930","36,370","36,261","41,448","50,681","51,531","54,217","55,602","59,281","65,717","73,541","78,807","75,674","84,445","104,337","103,312","109,816","124,346","147,824","180,617","222,117","257,916","315,475","253,547","289,880","350,908","374,818","390,108","403,137","358,135","357,045","386,359","423,014","417,216","357,219","405,468","507,535"
