,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,-16.5,-13.6,-19.5,30.8,5.8,6.2,-4.8,9.5,10.8,8.4,7.3,-1.9,10.2,7.6,1.2,10.3,9.0,7.6,9.2,-5.4,-5.4,3.0,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,0.8,-1.2,1.6,-2.1,-0.9,3.8,3.8,1.1,5.1,3.2,3.8,3.0,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.4,1.2,1.0,-5.1,3.4,3.4
Angola,5.8,5.3,6.4,4.7,5.3,6.4,4.7,5.3,6.4,4.7,9.6,6.0,0.2,8.1,3.1,-5.0,-5.2,0.8,-5.3,0.3,2.4,-4.4,0.0,4.2,6.0,3.5,2.9,4.1,6.1,0.0,-3.5,1.0,11.4,11.0,10.5,10.4,11.2,7.3,4.7,2.2,3.1,4.2,13.7,3.0,11.0,15.0,11.5,14.0,11.2,0.9,4.9,3.5,8.5,5.0,4.8,0.9,-2.6,-0.1,-1.3,-0.7,-5.6,1.1,2.7
Congo,6.4,8.4,5.2,-4.0,3.8,3.7,1.4,2.1,7.6,7.5,3.8,5.6,5.1,6.2,15.1,-3.3,-0.1,-5.5,7.4,9.8,12.7,2.6,2.4,2.4,2.4,2.4,2.3,2.3,21.9,21.3,1.0,2.4,2.6,-1.0,-5.5,4.0,4.3,-0.6,3.7,-2.6,7.6,3.8,4.6,0.8,3.5,9.2,8.0,-6.6,6.3,11.6,9.9,2.2,9.9,-0.7,6.7,-3.6,-10.8,-4.4,-4.8,1.0,-6.2,1.5,2.6
Equatorial Guinea,3.1,3.1,3.1,18.8,17.3,5.0,5.0,5.0,5.0,5.0,9.8,4.3,2.2,7.3,3.0,6.6,0.3,7.3,-5.0,-5.0,4.8,5.8,2.2,5.0,1.0,12.9,-2.3,4.4,2.7,-1.2,2.5,-1.2,33.0,10.5,16.8,26.5,52.7,148.0,24.8,26.4,110.5,60.0,19.6,14.5,30.4,8.2,6.5,15.3,17.8,1.3,-8.9,6.5,8.3,-4.1,0.4,-9.1,-8.8,-5.7,-6.2,-5.5,-4.2,-3.2,2.8
Gabon,12.0,15.4,8.6,6.8,3.9,7.0,4.1,4.0,2.5,8.1,5.7,5.0,8.4,7.0,6.6,6.9,39.4,-20.7,-27.5,-0.7,0.0,-4.0,4.1,2.0,4.9,5.8,-2.1,-15.4,3.5,15.4,5.1,6.1,-3.1,3.9,3.7,5.0,3.6,5.7,3.5,-8.9,-1.9,2.2,0.2,1.7,1.1,-0.8,-1.9,6.3,1.7,-2.3,6.3,7.1,5.3,5.5,4.4,3.9,2.1,0.5,0.8,3.9,-1.9,1.5,3.3
IR Iran ,4.8,3.2,6.3,6.5,-0.2,16.2,10.4,10.6,12.5,12.9,9.8,13.0,16.3,5.5,9.4,5.8,17.7,-1.3,-7.5,-7.1,-18.8,-8.6,13.1,13.8,-9.9,-2.1,-9.0,3.0,-9.5,5.2,18.1,10.8,2.1,1.3,-1.5,1.0,6.2,-0.5,1.9,0.3,6.9,0.8,10.3,9.2,4.0,3.2,5.0,8.2,0.3,1.0,5.8,2.6,-3.7,-1.5,5.0,-1.4,8.8,2.8,-1.8,-3.1,3.3,4.7,2.7
Iraq,6.0,7.3,4.6,2.4,14.8,10.8,5.0,-8.9,19.5,2.7,3.2,8.2,-5.4,16.5,4.4,10.5,13.7,6.5,10.5,37.0,-18.0,-39.6,-12.7,41.7,0.0,-14.3,-19.3,-1.5,-10.0,7.5,-30.7,-50.6,10.0,12.9,10.4,-5.0,8.0,40.0,34.8,24.8,-4.3,-6.6,-7.8,81.8,53.4,1.7,5.6,1.9,8.2,3.4,6.4,7.5,13.9,7.6,0.7,2.5,15.2,-3.4,4.7,5.8,-15.7,7.7,7.0
Kuwait,7.2,7.7,6.6,4.5,8.3,0.5,10.6,2.4,11.3,2.7,11.8,18.9,3.9,-6.5,-12.8,-12.1,12.7,-9.2,7.2,13.7,-20.4,-18.9,-9.5,5.3,5.2,-4.3,8.6,8.1,-10.1,25.9,-26.2,-41.0,82.8,35.1,8.6,1.7,0.6,2.5,3.7,-1.8,4.7,0.2,3.0,17.3,10.8,10.1,7.5,6.0,2.5,-7.1,-2.4,9.6,6.6,1.2,0.5,0.6,2.9,-4.7,2.4,-0.6,-8.9,1.3,7.5
Libya,21.0,10.0,32.1,34.8,41.6,27.9,18.4,11.3,33.5,13.0,3.9,-5.3,9.1,1.9,22.2,4.0,19.2,8.9,3.9,4.2,0.6,-20.0,1.5,-4.7,-8.3,0.6,-11.4,-14.7,7.6,7.2,3.7,15.7,-2.7,-3.8,1.9,-12.4,2.6,-0.6,-0.4,0.5,3.7,-1.8,-1.0,13.0,4.5,10.6,0.3,6.2,-0.2,-4.4,5.0,-50.3,86.8,-18.0,-23.0,-0.8,-1.5,32.5,7.9,-11.2,-29.5,28.3,1.0
Nigeria,2.1,0.2,4.1,8.4,6.1,4.9,-4.3,-20.7,-1.2,26.8,25.0,14.2,3.4,5.4,11.2,-5.2,9.0,6.0,-5.8,6.8,2.9,20.8,-1.1,-5.1,-2.0,8.3,-8.8,-10.8,7.5,6.5,12.8,-0.6,2.2,1.6,0.3,1.9,4.1,2.9,2.5,0.5,5.5,6.7,14.6,9.5,10.4,7.0,6.7,7.3,7.2,8.4,11.3,4.9,4.3,5.4,6.3,2.7,-1.6,0.8,1.9,2.2,-1.8,3.6,3.3
Saudi Arabia,12.4,13.0,11.9,8.7,8.8,14.7,8.2,8.9,8.6,6.0,12.0,19.9,23.5,25.6,27.5,5.2,12.7,7.0,-1.0,9.8,5.7,1.9,-20.7,-16.1,-4.7,-9.8,17.0,-6.6,13.1,-0.5,15.2,15.0,4.0,-1.4,0.6,0.2,2.6,1.1,2.9,-3.8,5.6,-1.2,-2.8,11.2,8.0,5.6,2.8,1.8,6.3,-2.1,5.0,11.0,5.4,2.9,4.0,4.7,2.4,-0.1,2.8,0.8,-4.3,3.9,8.7
