,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,10.8,11.0,11.2,11.4,11.7,11.9,12.2,12.6,12.9,13.3,13.7,14.2,14.6,15.1,15.5,16.0,16.5,17.1,17.6,18.2,19.0,19.6,20.2,20.5,21.5,22.2,22.8,23.4,24.1,24.4,25.0,25.6,26.3,26.9,27.5,28.1,28.6,29.0,29.5,30.0,30.4,30.9,31.4,31.8,32.4,32.9,33.5,34.1,34.6,35.3,36.0,36.7,37.5,38.3,39.1,40.0,40.8,41.7,42.6,43.4,44.2,45.0,45.4
Angola,5.4,5.5,5.6,5.7,5.8,5.9,6.1,6.2,6.3,6.4,6.6,6.7,6.9,7.0,7.2,7.4,7.5,7.7,8.0,8.2,8.5,8.7,8.9,9.2,9.4,10.6,10.9,11.2,11.5,11.8,12.1,12.5,12.8,13.2,13.5,13.9,14.4,14.8,15.3,15.7,16.2,16.6,17.1,17.6,18.2,18.7,19.2,19.8,20.4,21.0,21.7,22.3,23.0,23.7,25.8,26.7,27.5,28.4,29.3,30.2,31.1,32.1,33.1
Congo,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.6,2.7,2.8,2.9,3.0,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,4.0,4.1,4.3,4.4,4.5,4.6,4.8,4.9,5.1,5.2,5.3,5.4,5.6,5.7,5.8,6.0
Equatorial Guinea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.5
Gabon,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,2.0,2.0,2.1,2.1,2.1,2.1,2.2
IR Iran,21.7,22.3,22.9,23.5,24.2,24.9,25.6,26.4,27.2,28.0,28.8,29.7,30.5,31.4,32.4,33.4,34.4,35.4,36.6,37.9,39.3,40.8,42.4,43.6,45.4,47.3,49.2,51.2,53.0,54.7,56.2,57.3,58.1,58.8,59.5,60.3,61.3,62.4,63.6,64.8,66.1,67.1,68.0,68.8,69.6,70.4,71.2,72.0,72.8,73.7,74.6,75.5,76.5,77.4,78.4,79.4,80.3,81.1,82.1,83.1,84.0,84.8,85.7
Iraq,7.3,7.6,7.8,8.1,8.3,8.6,8.9,9.2,9.5,9.8,10.1,10.5,10.8,11.2,11.6,12.0,12.4,12.8,13.2,13.7,13.2,13.7,14.1,14.6,15.1,15.6,16.1,16.3,16.9,17.4,17.9,18.4,18.9,19.5,20.0,20.5,21.1,22.0,22.7,23.4,24.1,24.8,25.6,26.3,27.1,28.0,28.8,29.7,30.6,31.7,32.5,33.3,34.2,35.1,34.8,35.2,36.2,37.1,38.1,39.1,40.2,41.2,42.2
Kuwait,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.1,1.2,1.3,1.4,1.4,1.5,1.6,1.6,1.7,1.8,1.9,2.0,2.1,2.1,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.8,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.4,2.5,2.7,2.8,3.0,3.2,3.2,3.4,3.6,3.7,3.9,4.1,4.2,4.4,4.5,4.3,4.4
Libya,1.3,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.1,3.3,3.4,3.6,3.5,3.7,3.8,4.3,4.5,4.3,4.4,4.5,4.6,4.7,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6.0,6.0,5.9,6.3,6.3,6.3,6.3,6.4,6.4,6.5,6.6,6.6,6.7,6.8
Nigeria,54.5,54.5,55.4,56.4,57.4,58.4,59.5,60.6,61.7,62.8,64.0,65.3,66.6,68.0,69.4,71.0,72.7,74.6,76.5,78.6,80.7,82.8,84.8,86.8,88.8,90.8,92.9,95.2,97.4,99.8,102.2,104.6,107.1,109.6,112.1,114.7,117.3,120.1,122.9,125.7,128.7,131.7,134.8,138.0,141.3,144.7,148.3,151.9,155.7,159.7,163.7,167.9,172.2,176.6,181.9,187.1,192.4,197.7,203.0,208.3,213.4,218.4,221.6
