,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,249,159,162,140,66,40,46,55,58,48,80,69,101,113,93,95,100,105,85,91,137,148,172,179,190,198,302,260,249,265,258,249,258,191,215,250,292,332,277,265,160,113,149
Angola,24,40,72,80,57,59,47,52,59,48,60,56,47,33,36,60,98,52,63,61,40,75,51,60,50,45,57,75,99,60,118,112,127,115,87,92,67,43,32,104,14,27,38
Congo,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,28,57,65,44,64,64,80,15,9,4,11
Equatorial Guinea,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,49,44,48,33,10,5,21,9,0,2,0
Gabon,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,43,45,51,38,14,11,27,59,23,16,18
IR Iran,25,na,na,na,28,50,48,29,23,28,24,52,99,67,176,67,113,125,124,134,150,99,135,131,177,183,188,144,294,160,186,204,323,321,306,288,206,216,195,117,105,105,105
Iraq,67,39,na,na,na,60,90,52,102,178,113,5,31,30,8,10,-,10,12,12,14,16,na,na,20,15,19,na,19,55,71,76,228,313,281,154,131,139,160,190,130,108,221
Kuwait1,38,47,17,38,14,13,15,19,14,14,7,21,83,58,53,55,52,68,56,117,158,125,109,129,86,76,100,83,92,118,268,523,533,590,596,622,622,555,488,379,444,380,448
Libya,192,157,89,80,118,65,40,41,100,110,98,94,94,100,100,88,131,128,123,90,109,97,100,126,130,115,160,197,254,247,200,76,68,106,162,35,14,5,35,115,93,102,58
Nigeria,114,172,145,109,94,64,65,58,65,96,80,137,95,106,66,119,138,137,132,82,85,110,119,207,85,95,143,183,105,140,94,124,107,114,141,116,76,76,81,100,81,73,74
Saudi Arabia1,225,232,190,188,93,97,30,24,19,46,98,195,247,229,186,197,206,328,304,242,277,290,268,350,328,382,447,493,592,450,336,312,362,429,538,616,622,594,588,580,466,314,370
United Arab Emirates,109,146,233,248,142,208,152,78,62,63,75,111,111,114,108,112,125,148,125,108,87,92,101,103,101,109,105,112,124,173,182,266,304,277,292,219,271,364,399,440,320,254,276
Venezuela,819,905,"1,174","1,324",587,373,209,117,186,153,236,744,685,660,412,550,961,"1,088","1,110",827,691,"1,278",958,615,"1,175","1,281","1,508","1,560","1,350",775,890,"1,050",788,415,669,635,736,478,710,639,23,90,23
OPEC,"1,862","1,897","2,082","2,207","1,199","1,029",742,525,688,784,871,"1,484","1,593","1,510","1,238","1,353","1,924","2,189","2,134","1,764","1,748","2,330","2,013","1,900","2,342","2,499","3,029","3,107","3,178","2,443","2,603","2,992","3,218","3,017","3,451","3,142","3,125","2,882","3,093","3,012","1,868","1,588","1,791"
Total world,"84,192","95,723","105,614","82,095","93,260","101,946","59,662","55,402","56,050","51,395","57,523","51,435","46,590","61,758","63,915","57,317","61,826","66,984","57,716","49,410","70,940","75,475","69,010","74,718","84,682","93,395","107,978","104,130","112,444","86,294","96,230","99,039","101,757","104,888","101,670","71,308","52,086","65,614","72,230","67,818","46,305","51,924","60,029"
