,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
OECD Americas,"38,973","39,409","38,639","39,345","39,297","41,552","42,377","42,919","46,243","44,544","53,076","51,131","49,464","48,448","45,432","49,472","44,324","52,220","53,755","68,260","84,235","92,794","91,917","91,622","91,170","90,102","88,031","87,591","86,274","84,684","83,437","81,199","80,363","79,069","77,431","76,341","75,628","75,449","54,460","54,879","51,435","52,676","44,513","42,335","40,676","40,785","38,914","38,668","35,948","37,023","39,253","40,977","44,995","47,875","50,476","46,533","44,483","51,270","54,973","54,580","46,402","51,774","65,690"
Canada1,"5,000","5,000","4,600","5,675","5,281","7,500","8,250","8,792","9,900","8,782","10,750","8,448","10,200","9,424","9,400","7,100","6,200","6,000","6,000","6,800","6,806","5,983","6,689","6,433","5,969","5,760","5,940","5,913","6,134","5,900","5,585","5,292","5,093","5,036","4,899","4,894","4,839","4,931","4,877","4,704","4,856","4,655","4,490","4,254","4,352","5,208","4,942","5,014","4,812","4,325","4,145","4,122","4,291","4,281","4,129","4,354","4,418","5,423","5,192","4,906","4,919","4,855","4,731"
Chile,110,150,150,200,225,200,175,150,136,130,125,120,125,124,200,190,182,440,400,400,400,387,372,358,345,333,322,312,303,300,300,300,300,300,300,300,300,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Mexico,"2,250","2,500","2,500","2,500","2,800","2,500","2,500","2,600","5,500","6,000","3,200","4,500","2,800","3,600","3,582","9,500","7,000","14,000","16,000","31,250","47,224","56,998","56,998","57,096","56,410","55,593","54,880","54,110","53,012","51,983","51,298","50,925","51,225","50,776","49,775","48,796","48,472","47,822","28,399","28,260","24,384","25,425","17,196","16,040","14,803","13,670","12,850","12,187","11,865","11,866","11,691","10,161","10,025","10,073","9,812","9,711","7,142","6,537","5,807","5,333","5,498","5,618","5,558"
United States,"31,613","31,759","31,389","30,970","30,991","31,352","31,452","31,377","30,707","29,632","39,001","38,063","36,339","35,300","32,250","32,682","30,942","31,780","31,355","29,810","29,805","29,426","27,858","27,735","28,446","28,416","26,889","27,256","26,825","26,501","26,254","24,682","23,745","22,957","22,457","22,351","22,017","22,546","21,034","21,765","22,045","22,446","22,677","21,891","21,371","21,757","20,972","21,317","19,121","20,682","23,267","26,544","30,529","33,371","36,385","32,318","32,773","39,160","43,824","44,191","35,835","41,151","55,251"
OECD Europe,"1,663","1,649","1,704","2,045","2,505","2,320","2,165","2,521","2,402","2,193","6,601","7,311","10,205","17,052","17,351","19,050","17,604","18,340","16,850","16,917","16,109","15,054","14,511","15,378","15,010","14,645","16,088","17,131","16,619","16,215","16,922","17,065","17,683","17,656","19,628","21,215","19,043","19,186","18,565","18,948","19,371","19,591","18,374","18,006","17,256","17,040","15,369","15,001","14,314","13,372","12,372","12,517","13,000","12,626","11,859","12,959","12,264","12,454","13,098","13,224","12,412","11,772","11,251"
Denmark,0,0,0,0,0,0,0,0,0,0,0,250,250,249,247,245,300,300,300,375,450,371,327,308,465,447,403,403,541,629,591,616,748,704,755,912,862,943,881,906,"1,113","1,346","1,277","1,277","1,327","1,277","1,157","1,113","1,113","1,060",812,900,805,805,611,511,491,439,428,441,441,428,340
Norway,0,0,0,0,0,0,0,0,0,0,"2,000","2,000","2,000","4,000","7,300","7,000","5,660","6,000","5,900","5,750","4,962","4,597","4,484","5,824","6,012","6,082","7,982","9,259","9,485","9,353","9,951","9,894","10,122","10,194","12,277","13,612","11,280","10,913","10,366","10,921","11,373","11,597","10,448","10,149","9,722","9,697","8,548","8,168","7,491","7,078","6,804","6,883","7,495","7,047","6,539","8,005","7,601","7,918","8,645","8,523","7,902","7,745","7,573"
United Kingdom,5,5,5,5,5,5,5,10,9,9,"2,500","3,000","6,000","10,900","7,725","9,827","9,896","10,070","8,735","8,755","8,438","7,875","7,463","6,938","6,000","5,625","5,325","5,175","4,275","3,825","4,013","4,163","4,575","4,538","4,313","4,538","4,988","5,175","5,138","4,988","4,725","4,538","4,463","4,283","3,998","3,870","3,593","3,593","3,590","3,100","2,800","2,800","2,800","2,979","2,982","2,755","2,564","2,500","2,500","2,700","2,500","2,000","1,800"
Others,"1,658","1,644","1,699","2,040","2,500","2,315","2,160","2,511","2,393","2,184","2,101","2,061","1,955","1,903","2,079","1,978","1,748","1,970","1,915","2,037","2,259","2,211","2,237","2,308","2,533","2,491","2,378","2,294","2,318","2,408","2,367","2,392","2,238","2,220","2,283","2,153","1,913","2,155","2,180","2,133","2,160","2,110","2,186","2,297","2,209","2,196","2,071","2,127","2,120","2,134","1,956","1,934","1,900","1,795","1,727","1,689","1,608","1,597","1,525","1,560","1,569","1,599","1,538"
OECD Asia Pacific,61,62,105,100,100,132,675,663,"2,561","2,560","2,496","2,380","2,297","2,139","2,002","1,848","1,725","1,603","1,448","1,285","2,350","2,859","3,169","2,726","2,778","2,697","3,099","3,123","3,425","3,308","3,429","3,456","3,450","3,468","4,004","3,952","4,003","4,243","4,961","4,928","5,129","5,104","4,686","3,862","3,999","3,830","3,626","3,528","4,343","4,166","3,996","4,013","4,047","4,080","2,501","2,498","2,491","2,493","2,483","2,477","2,475","1,833","1,890"
Australia,1,2,50,50,50,60,608,601,"2,500","2,500","2,440","2,321","2,198","2,045","1,897","1,747","1,592","1,435","1,278","1,118","2,123","2,618","2,931","2,491","2,560","2,459","2,874","2,906","3,189","3,101","3,157","3,227","3,220","3,258","3,818","3,799","3,818","4,038","4,774","4,743","4,944","4,956","4,573","3,749","3,889","3,718","3,515","3,429","4,239","4,061","3,831","3,873","3,922","3,957","2,390","2,390","2,390","2,390","2,390","2,390","2,390","1,747","1,803"
Others,60,60,55,50,50,72,67,62,61,60,56,59,99,94,105,101,133,168,170,167,227,241,238,235,218,238,225,217,237,207,272,230,230,210,186,153,185,205,187,186,186,148,113,113,110,112,112,99,104,104,165,140,125,123,111,108,101,103,93,87,85,86,87
China,500,600,600,600,800,"1,000","1,000","1,000","2,000","2,000","2,000","8,772","8,772","10,386","10,386","12,100","12,632","12,650","14,053","13,509","13,334","13,272","13,241","14,861","16,342","17,064","17,138","17,400","17,260","16,037","15,998","15,492","15,172","16,413","16,236","16,333","16,422","16,998","17,399","17,832","17,945","18,300","15,509","15,476","18,259","18,250","20,220","20,220","21,187","21,618","23,268","23,747","24,428","24,376","24,649","25,132","25,620","25,627","25,927","26,154","26,023","26,491","27,003"
India,750,500,500,750,750,800,"1,400","1,638","1,500",715,956,949,897,843,788,729,"3,000","3,000","2,982","2,893","3,436","3,444","3,858","3,744","3,661","4,090","4,132","4,363","4,838","5,345","5,540","5,899","5,831","5,684","5,547","5,356","5,364","5,468","5,394","4,972","5,290","5,513","5,576","5,731","5,565","5,919","5,693","5,459","5,798","5,823","5,883","5,704","5,720","5,711","5,743","4,786","4,622","4,495","4,423","4,423","4,605","4,489","4,370"
Other Asia,"10,481","10,481","11,128","11,124","11,170","11,028","10,900","10,681","10,563","10,417","11,810","12,752","13,139","13,755","18,248","18,636","18,257","17,637","17,264","15,515","15,414","15,198","14,960","14,969","14,670","14,218","13,933","14,223","14,042","10,186","10,672","11,886","12,159","12,338","12,118","12,137","11,907","12,189","12,918","14,629","14,315","14,321","14,679","14,460","14,982","14,865","15,386","15,117","16,510","14,217","14,291","14,013","13,506","13,762","13,780","13,483","13,548","13,583","13,415","13,577","12,841","12,829","12,522"
Brunei,500,500,650,650,700,676,647,616,600,650,"1,000",950,"1,500","1,600","1,600","1,484","1,625","1,550","1,480","1,298","1,294","1,500","1,445","1,527","1,470","1,443","1,475","1,600","1,200","1,152","1,124","1,150","1,130","1,250","1,188","1,124","1,090","1,060","1,020","1,300","1,230","1,160","1,100","1,050","1,120","1,105","1,200","1,200","1,200","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
Indonesia,"9,500","9,500","10,000","10,000","10,000","9,825","9,656","9,472","9,253","9,000","10,000","10,400","10,005","10,500","15,000","14,523","13,973","13,357","12,761","12,180","11,603","11,018","10,534","10,080","9,611","9,180","9,000","9,000","9,000","5,114","5,415","5,909","5,598","5,167","4,980","4,980","4,980","4,867","5,100","5,201","5,123","5,095","4,722","4,320","4,301","4,188","4,370","3,990","3,990","3,990","3,990","3,640","3,291","3,303","3,303","3,230","3,230","3,310","3,170","3,150","2,480","2,440","2,250"
Malaysia,410,410,410,410,410,450,525,525,600,650,700,"1,300","1,500","1,500","1,500","2,500","2,500","2,500","2,800","1,825","2,313","2,295","2,570","2,952","3,066","3,023","2,906","2,922","3,054","2,943","3,045","3,743","4,279","4,277","4,277","4,000","3,852","3,880","3,630","5,029","4,530","4,457","4,540","4,840","5,160","5,252","5,357","5,460","5,520","3,572","3,739","3,739","3,668","3,750","3,750","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600"
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,51,110,200,240,350,596,639,764,890,"1,246","1,900","1,800","1,950","2,200","2,812","2,960","3,084","3,119","3,250","3,410","4,700","4,500","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400"
Others,71,71,68,64,61,77,72,68,110,117,110,102,134,155,148,129,159,229,224,213,204,385,411,410,523,572,552,680,737,867,888,844,802,"1,048","1,034","1,269","1,095","1,136","1,268","1,299","1,483","1,410","1,505","1,291","1,318","1,201","1,209","1,057","1,100","1,055","1,062","1,134","1,047","1,209","1,227","1,153","1,218","1,173","1,145","1,327","1,261","1,289","1,172"
Latin America,"22,700","22,055","21,575","21,605","22,500","22,470","24,424","24,156","23,146","23,049","22,846","25,866","28,443","25,734","26,766","26,382","25,391","25,783","25,089","25,480","26,409","26,802","32,157","33,262","36,129","62,603","63,917","67,493","68,642","69,216","71,148","74,281","78,658","80,286","81,265","83,377","90,020","92,914","95,287","97,304","97,699","99,009","100,913","101,555","104,373","104,635","111,255","125,085","197,292","236,075","322,167","325,484","326,782","330,293","331,228","332,465","329,689","329,283","330,461","331,628","330,719","329,481","331,265"
