,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,106,201,105,465,394,493,508,532,583,606,681,614,"1,030","1,522","4,267","4,295","4,791","5,562","5,856","8,746","12,971","13,066","11,149","9,655","9,778","9,668","5,161","6,555","5,725","6,815","9,588","8,464","7,885","6,902","6,335","6,938","8,826","8,352","5,691","8,314","14,204","11,736","12,370","16,476","23,050","32,937","38,279","44,497","53,685","30,584","38,211","51,409","48,271","44,462","40,628","21,742","18,643","22,355","26,082","22,674","13,188","23,356","32,513"
Angola,-,-,-,-,-,-,-,-,-,15,41,68,99,148,575,565,499,741,670,720,"1,617","1,402","1,219","1,605","1,876","1,972","1,276","2,121","2,258","2,745","3,581","3,217","3,556","2,813","2,894","3,503","4,754","4,607","3,080","4,481","7,083","5,783","7,651","8,677","12,618","22,650","30,949","43,010","63,197","39,732","49,379","65,215","69,954","65,965","56,614","31,929","26,022","32,026","37,801","32,230","18,782","28,837","41,241"
Congo,-,-,-,-,-,-,-,-,-,-,-,0,5,33,192,143,155,145,209,302,700,"1,006",997,985,"1,072","1,039",528,719,673,919,"1,203","1,001","1,073","1,033",907,"1,016","1,416","1,494","1,036","1,601","2,517","1,947","1,936","2,016","2,833","4,463","6,054","5,415","7,861","5,814","8,386","10,668","10,141","8,845","8,123","3,988","3,444","4,763","7,468","7,072","3,689","5,785","8,297"
Equatorial Guinea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,76,153,427,402,658,"1,326","1,752","2,066","2,740","5,130","7,593","9,106","10,480","13,386","7,800","9,279","12,887","13,605","12,119","11,058","3,392","2,446","2,460","3,175","2,703","1,765","2,366","3,111"
Gabon,9,9,9,10,12,14,15,35,42,58,62,89,100,212,760,918,924,900,921,"1,283","2,101","1,746","1,646","1,478","1,460","1,542",770,915,754,"1,236","2,215","2,019","1,927","1,819","1,606","2,055","2,610","2,441","1,548","2,007","2,744","2,184","2,147","2,584","3,416","4,781","4,915","5,655","7,390","4,649","6,204","8,807","8,221","7,691","6,912","3,740","3,128","3,596","4,419","4,767","2,714","4,641","6,812"
IR Iran ,595,672,706,799,"1,109","1,138","1,149","1,748","1,688","1,857","2,358","3,494","3,638","5,617","20,904","19,634","22,923","23,599","21,684","19,186","11,693","10,047","18,690","20,273","15,713","13,012","5,900","9,400","8,419","11,315","14,751","15,276","15,184","12,773","13,576","14,973","19,441","15,553","10,048","16,098","18,821","21,420","19,219","26,124","34,289","48,306","57,719","69,248","89,855","55,746","72,228","114,751","101,468","61,923","53,652","27,308","41,123","52,728","60,519","19,402","7,914","25,526","42,619"
Iraq,445,499,500,579,634,660,698,610,755,769,788,"1,083","1,027","1,842","6,534","8,227","9,201","9,560","10,913","21,382","26,096","10,039","9,933","7,699","9,095","11,259","6,913","11,112","11,315","14,810","9,933",276,380,330,292,350,659,"4,609","5,817","11,950","18,319","11,585","11,246","7,526","17,730","23,579","30,299","39,412","61,111","39,307","51,589","83,010","94,090","89,403","84,303","49,211","43,684","59,730","84,218","80,027","44,128","79,788","120,571"
Kuwait,855,853,961,"1,029","1,146","1,207","1,305","1,313","1,392","1,476","1,582","2,412","2,834","3,574","10,566","8,593","9,090","8,918","9,557","17,294","18,935","14,229","9,066","10,069","10,996","9,451","6,378","7,523","6,840","10,432","6,385",874,"6,221","9,711","10,459","12,054","14,132","13,468","8,472","11,026","18,185","14,969","14,060","19,005","26,675","42,440","53,160","59,006","82,672","48,914","61,753","97,373","108,534","107,543","98,631","47,431","40,600","48,928","64,582","52,433","35,228","61,703","95,352"
Libya,-,11,132,327,606,785,990,"1,164","1,860","2,162","2,379","2,693","2,931","3,984","8,257","6,767","9,553","11,394","9,885","15,941","21,906","14,930","13,692","12,341","10,970","12,132","7,568","6,293","6,070","6,573","10,715","10,211","9,326","7,689","7,170","7,763","9,543","8,905","5,612","7,734","11,578","10,683","10,181","14,551","20,561","31,837","41,626","47,720","61,495","35,600","47,245","18,615","60,188","44,445","20,357","10,973","4,974","15,536","25,386","24,197","5,724","27,485","33,255"
Nigeria,12,32,48,57,90,191,258,199,109,422,718,"1,375","1,803","3,049","8,997","7,744","9,444","11,561","9,452","15,624","24,931","17,291","13,260","10,068","11,319","12,615","4,122","7,007","6,207","7,517","9,852","7,275","11,588","8,962","8,966","11,732","15,400","14,409","9,553","13,708","26,894","17,731","16,567","23,195","33,719","47,632","54,462","50,833","73,825","42,205","67,025","88,449","95,620","90,546","75,196","41,168","27,295","37,983","54,513","45,106","27,730","41,378","53,457"
Saudi Arabia,682,740,809,869,922,"1,073","1,298","1,384","2,020","2,107","2,418","3,803","5,477","8,956","35,476","29,473","38,157","43,308","40,332","62,855","101,421","111,546","73,263","44,829","36,282","25,930","18,060","20,427","20,205","24,095","40,129","43,607","46,527","38,621","38,138","43,547","54,272","53,343","32,569","44,880","70,866","59,788","63,815","82,272","110,746","161,871","190,468","205,452","280,998","161,613","214,897","317,614","337,480","321,888","284,558","152,910","136,194","170,241","231,585","200,488","119,359","202,166","326,289"
United Arab Emirates,-,-,9,31,128,190,241,262,335,407,523,842,"1,111","1,740","6,327","6,806","8,383","9,258","8,661","12,862","19,390","18,761","15,956","13,016","12,037","10,896","6,865","7,900","7,627","10,215","14,846","14,356","14,251","12,118","11,683","12,822","14,980","15,269","11,131","15,021","26,148","23,909","22,806","29,183","38,801","55,079","70,100","73,827","102,087","67,876","74,638","79,573","86,016","85,640","88,855","53,833","40,436","50,647","57,890","52,417","31,341","54,595","94,677"
Venezuela,"1,983","2,033","2,156","2,155","2,305","2,280","2,190","2,307","2,330","2,279","2,371","2,882","2,857","4,328","10,548","8,324","8,763","9,110","8,740","13,633","17,562","18,609","15,633","13,857","14,627","12,761","7,049","8,927","8,023","9,862","13,912","12,119","11,014","10,855","11,288","13,517","18,246","18,330","12,178","16,735","27,874","21,745","21,532","22,029","32,871","48,143","57,972","51,531","89,034","54,178","62,317","88,131","93,569","85,603","71,731","35,136","25,942","31,497","29,810","18,335","5,738","8,816","15,379"
OPEC,"4,687","5,050","5,435","6,321","7,346","8,031","8,651","9,554","11,113","12,157","13,920","19,356","22,912","35,004","113,403","101,489","121,885","134,056","126,879","189,827","259,322","232,670","184,502","145,875","135,226","122,276","70,589","88,899","84,117","106,533","137,109","118,694","128,932","113,626","113,358","130,348","164,432","161,207","107,137","154,212","246,558","205,231","205,597","256,378","362,440","531,311","645,109","706,084","986,596","594,017","763,151","1,036,502","1,127,157","1,026,074","900,617","482,761","413,930","532,491","687,447","561,851","317,300","566,442","873,573"
